GDI Rank,Country,Location,Gender Development Index (GDI),Human Development Index (Female),Human Development Index (Male),Life Expectancy at Birth (Female),Life Expectancy at Birth (Male),Expected Years of Education (Female),Expected Years of Education (Male),Mean Years of Education (Female),Mean Years of Education (Male),Estimated Gross National Income per Capita (Female),Estimated Gross National Income per Capita (Male)
56,Kazakhstan,Asia,1.002,0.787,0.785,74.1,64.6,15.4,14.7,11.3,11.5,15408,26746
57,Barbados,Central America,1.018,0.791,0.777,78,73.2,17.2,13.8,10.6,10.2,10245,14739
58,Antigua and Barbuda,Central America,..,..,..,78.5,73.5,14.6,13.3,..,..,..,..
59,Bulgaria,Europe,0.991,0.777,0.784,77.7,70.8,14.6,14.1,10.6,10.4,12448,18926
60,Palau,Oceania,..,..,..,..,..,13.9,13.5,..,..,..,..
60,Panama,Central America,0.996,0.776,0.779,80.7,74.6,13.8,12.8,9.6,9.1,13699,22597
62,Malaysia,Asia,0.947,0.753,0.795,77.1,72.4,12.7,12.7,9.4,10.1,15635,30320
63,Mauritius,Africa,0.95,0.752,0.792,78,70.9,15.9,15.2,8,9.1,10541,24581
64,Seychelles,Africa,..,..,..,78.1,68.9,13.3,13.4,..,..,..,..
64,Trinidad and Tobago,Central America,0.985,0.763,0.774,74,67,12.5,12.1,10.7,10.9,19669,32656
66,Serbia,Europe,0.966,0.757,0.784,77.7,72.1,14.9,13.9,9.8,11.2,9697,14799
67,Cuba,Central America,0.954,0.747,0.783,81.5,77.4,14.4,13.3,11.4,11.6,4912,9665
67,Lebanon,Asia,0.899,0.718,0.8,81.3,77.6,13.6,13.9,7.6,8.2,7334,25391
69,Costa Rica,Central America,0.974,0.753,0.774,81.9,77,14.3,13.4,8.4,8.3,9680,17033
69,Iran (Islamic Republic of),Asia,0.858,0.689,0.804,76.5,74.3,15,15.2,7.7,8.6,4828,25924
71,Venezuela (Bolivarian Republic of),South America,1.03,0.772,0.749,78.5,70.2,15.3,13.1,9.2,8.6,12458,19840
72,Turkey,Europe,0.902,0.716,0.793,78.5,72,14,15.1,6.7,8.5,10024,27645
73,Sri Lanka,Asia,0.948,0.73,0.769,78.2,71.5,14.2,13.3,10.7,10.9,5452,14307
74,Mexico,North America,0.943,0.731,0.775,79.2,74.4,13.2,12.9,8.2,8.8,10233,22252
75,Brazil,South America,0.997,0.752,0.754,78.3,70.7,15.6,14.8,7.8,7.5,11393,19084
76,Georgia,Europe,0.962,0.736,0.765,78.4,71.2,14,13.6,12,12.3,4887,9718
77,Saint Kitts and Nevis,Central America,..,..,..,..,..,13.4,12.4,..,..,..,..
78,Azerbaijan,Asia,0.942,0.721,0.766,74,67.7,11.8,12,10.5,11.2,10120,22814
79,Grenada,Central America,..,..,..,75.9,71,16.3,15.3,..,..,..,..
